versao;tipo;cnpj;passivoTotal;periodo;ativoTotal;ativoCirc;caixa;aplicacoesFin;disponivel;contasReceber;estoques;ativoLP;passivoCirc;passivoLP;dividaBruta;dividaLiq;patLiq;receitaBruta;cmv;lucroBruto;despesasOper;lucroOper;receitasDespesasFin;impostoRenda;lair;lucroLiq;dividendosPagos;jcp;total_shares;on_shares;pn_shares;ano;trimestre
3.0;1.0;89.096.457/0001-55;15545044000;2023.2T;15545044000;7689956000;1160785000;0;1160785000;664879000;2610390000;7855088000;3856777000;6037014000;9893791000;8733006000;5651253000;2130192000;-1397212000;732980000;-88976000;644004000;-172609000;-122676000.0;471395000;348719000;0;0;443329716;443329716;0;2023;2
1.0;1.0;16.670.085/0001-55;71955862000;2023.2T;71955862000;16764904000;3246436000;6483921000;9730357000;2747145000;55276000;55190958000;13521220000;33544994000;47066214000;37335857000;24889648000;6846159000;-5391332000;1454827000;-634503000;820324000;-1097302000;188207000.0;-276978000;-88771000;0;0;1071889858;1071889858;0;2023;2
1.0;1.0;60.894.730/0001-05;39738726000;2023.2T;39738726000;18956289000;3750274000;1190367000;4940641000;3416772000;9627099000;20782437000;4774478000;8664601000;13439079000;8498438000;26299647000;6887396000;-6304931000;582465000;-452008000;130457000;205472000;-48572000.0;335929000;287357000;0;0;1253079108;705260684;547818424;2023;2
1.0;1.0;02.387.241/0001-60;46472940000;2023.2T;46472940000;9187726000;5714927000;0;5714927000;535868000;221301000;37285214000;4977644000;25851784000;30829428000;25114501000;15643512000;2763112000;-1691338000;1071774000;-162326000;909448000;-675897000;-66349000.0;233551000;167202000;0;0;1854868949;1854868949;0;2023;2
1.0;1.0;17.155.730/0001-64;54543064000;2023.2T;54543064000;13540429000;2182819000;1542983000;3725802000;4762847000;0;41002635000;10127642000;20800787000;30928429000;27202627000;23614635000;8819517000;-6800144000;2019373000;-443702000;1575671000;39810000;-370099000.0;1615481000;1245382000;0;0;2861781895;956601911;1905179984;2023;2
2.0;1.0;42.150.391/0001-70;88009250000;2023.2T;88009250000;34339074000;13240168000;2340064000;15580232000;4030276000;12984562000;53670176000;23112169000;58154018000;81266187000;65685955000;6743063000;17756177000;-17297601000;458576000;-2098787000;-1640211000;160653000;656210000.0;-1479558000;-823348000;0;0;797207834;451668652;345539182;2023;2
2.0;1.0;33.042.730/0001-04;88409654000;2023.3T;88409654000;31712482000;15302620000;1144599000;16447219000;3179048000;9283122000;56697172000;20684387000;47624422000;68308809000;51861590000;20100845000;11125028000;-8319723000;2805305000;-1157787000;1647518000;-1223475000;-333249000.0;424043000;90794000;0;0;1326093947;1326093947;0;2023;3
1.0;1.0;07.859.971/0001-30;19422890000;2023.3T;19422890000;4217841000;1674800000;0;1674800000;364385000;0;15205049000;1554339000;11216225000;12770564000;11095764000;6652326000;686466000;-255406000;431060000;-10779000;420281000;-182545000;41206000.0;237736000;278942000;0;0;1033496721;590714069;442782652;2023;3
1.0;1.0;53.113.791/0001-22;8755181000;2023.3T;8755181000;3849923000;3056726000;0;3056726000;557040000;0;4905258000;1297166000;2446452000;3743618000;686892000;5011563000;1153397000;-351760000;801637000;-595167000;206470000;8051000;-21042000.0;214521000;434777000;0;0;617183181;617183181;0;2023;3
1.0;1.0;33.256.439/0001-39;36409146000;2023.3T;36409146000;18039111000;6037119000;209205000;6246324000;5528073000;3913949000;18370035000;9942288000;13223425000;23165713000;16919389000;13243433000;32483536000;-29619258000;2864278000;-1286141000;1578137000;-300614000;-386280000.0;1277523000;891243000;0;0;1115404268;1115404268;0;2023;3
